"precinct","estimated_male","estimated_female","estimated_population"
"ABERDEEN","4853.0","5012.0","9867.0"
"ACORNHOEK","57960.0","69658.0","127623.0"
"ACTONVILLE","27194.0","25643.0","52831.0"
"ADDO","10545.0","10398.0","20938.0"
"ADELAIDE","6508.0","7081.0","13588.0"
"AFSONDERING","9563.0","11752.0","21315.0"
"AGGENEYS","1378.0","1005.0","2384.0"
"AKASIA","95086.0","96711.0","191804.0"
"ALBERTINIA","4105.0","4220.0","8328.0"
"ALBERTON","44490.0","45653.0","90144.0"
"ALEXANDER BAY","2660.0","2204.0","4864.0"
"ALEXANDRA","91722.0","86034.0","177765.0"
"ALEXANDRA ROAD","41150.0","45323.0","86479.0"
"ALEXANDRIA","6618.0","7227.0","13845.0"
"ALGOAPARK","17243.0","18244.0","35483.0"
"ALICE","21055.0","22980.0","44034.0"
"ALICEDALE","2156.0","2264.0","4420.0"
"ALIWAL NORTH","8725.0","9805.0","18526.0"
"ALLANRIDGE","9741.0","10081.0","19815.0"
"ALLDAYS","3517.0","2894.0","6410.0"
"AMALIA","3890.0","3821.0","7709.0"
"AMANGWE","20159.0","23234.0","43394.0"
"AMANZIMTOTI","28926.0","31127.0","60044.0"
"AMERSFOORT","17085.0","19086.0","36169.0"
"AMSTERDAM","12448.0","13705.0","26149.0"
"APEL","33239.0","40630.0","73865.0"
"ARLINGTON","2344.0","2556.0","4900.0"
"ASHTON","9054.0","9603.0","18655.0"
"ASSEN","3712.0","2270.0","5985.0"
"ATAMELANG","16849.0","18735.0","35583.0"
"ATHLONE","30221.0","33086.0","63307.0"
"ATLANTIS","39154.0","40474.0","79631.0"
"ATTERIDGEVILLE","87364.0","82765.0","170122.0"
"AUGRABIES","8006.0","6374.0","14379.0"
"AVONDALE","15536.0","18373.0","33902.0"
"BABANANGO","12989.0","15369.0","28358.0"
"BADPLAAS","5939.0","5920.0","11857.0"
"BAINSVLEI","10488.0","10972.0","21457.0"
"BALFOUR","2040.0","2167.0","4209.0"
"BALFOUR TVL","13286.0","13291.0","26583.0"
"BARBERTON","33768.0","30884.0","64646.0"
"BARKLY EAST","6413.0","6659.0","13077.0"
"BARKLY WEST","11200.0","11746.0","22943.0"
"BARRYDALE","3751.0","3703.0","7452.0"
"BATHO","8132.0","7737.0","15869.0"
"BATHURST","3925.0","4381.0","8306.0"
"BATLHAROS","9818.0","11468.0","21285.0"
"BAVIAANSKLOOF","492.0","554.0","1047.0"
"BAYSWATER","9772.0","11170.0","20943.0"
"BAYVIEW","18343.0","19973.0","38319.0"
"BEACON BAY","14988.0","15959.0","30945.0"
"BEAUFORT WEST","19359.0","20715.0","40076.0"
"BEDFORD","5058.0","5423.0","10480.0"
"BEDFORDVIEW","18793.0","19975.0","38767.0"
"BEDWANG","10993.0","11930.0","22927.0"
"BEKKERSDAL","39805.0","37418.0","77221.0"
"BELA-BELA","29850.0","29144.0","58987.0"
"BELFAST","10540.0","10347.0","20892.0"
"BELHAR","27458.0","29381.0","56835.0"
"BELL","3192.0","3651.0","6848.0"
"BELLAIR","12437.0","12883.0","25320.0"
"BELLVILLE","31526.0","34463.0","65990.0"
"BELLVILLE SOUTH","14047.0","15248.0","29295.0"
"BELMONT","393.0","358.0","750.0"
"BENONI","62429.0","56591.0","119025.0"
"BEREA","12238.0","15330.0","27567.0"
"BERGVILLE","25393.0","29432.0","54820.0"
"BERLIN","6481.0","6934.0","13417.0"
"BESTERS","13661.0","14558.0","28217.0"
"BETHAL","9094.0","7928.0","17020.0"
"BETHANIE","28543.0","24038.0","52588.0"
"BETHELSDORP","69700.0","74457.0","144156.0"
"BETHLEHEM","41788.0","45567.0","87343.0"
"BETHULIE","3522.0","3779.0","7302.0"
"BHEKITHEMBA","65942.0","70710.0","136659.0"
"BHISHO","8075.0","9157.0","17229.0"
"BIESIESVLEI","6733.0","6001.0","12731.0"
"BISHOP LAVIS","51238.0","54819.0","106051.0"
"BISHOPSTOWE","6279.0","7130.0","13409.0"
"BITYI","34259.0","39425.0","73691.0"
"BIZANA","52554.0","62462.0","115007.0"
"BLINKPAN","10156.0","6857.0","17013.0"
"BLOEMHOF","14881.0","15208.0","30084.0"
"BLOEMSPRUIT","54251.0","49131.0","103393.0"
"BLUEWATER","4946.0","5321.0","10265.0"
"BOETSAP","278.0","250.0","529.0"
"BOIPATONG","12272.0","12085.0","24357.0"
"BOITEKONG","81131.0","65879.0","147008.0"
"BOITHUSO","46997.0","52829.0","99830.0"
"BOKSBURG","33312.0","29871.0","63183.0"
"BOKSBURG NORTH","30476.0","30939.0","61416.0"
"BOLO","2723.0","2843.0","5569.0"
"BOLOBEDU","73767.0","92974.0","166745.0"
"BOLOTWA","8176.0","8933.0","17109.0"
"BONNIEVALE","6997.0","6965.0","13959.0"
"BOONS","3638.0","2893.0","6532.0"
"BOOYSENS","39813.0","40681.0","80499.0"
"BOSCHKOP","15154.0","15258.0","30417.0"
"BOSHOEK","2966.0","1931.0","4896.0"
"BOSHOF","5062.0","5476.0","10540.0"
"BOSTON","2812.0","3120.0","5935.0"
"BOTHASIG","12806.0","13876.0","26681.0"
"BOTHAVILLE","24218.0","26462.0","50676.0"
"BOTHITHONG","14788.0","18883.0","33674.0"
"BOTLOKWA","26733.0","32240.0","58979.0"
"BOTSHABELO","38311.0","43572.0","81876.0"
"BRACKENDOWNS","26838.0","28743.0","55585.0"
"BRACKENFELL","24568.0","26086.0","50658.0"
"BRAKPAN","38546.0","37755.0","76299.0"
"BRAMLEY","23278.0","23115.0","46395.0"
"BRANDFORT","6857.0","6996.0","13854.0"
"BRANDVLEI","1810.0","1661.0","3472.0"
"BRAY","2203.0","2280.0","4483.0"
"BREDASDORP","11182.0","11434.0","22621.0"
"BREYTEN","8440.0","8691.0","17127.0"
"BRIDGE CAMP","7527.0","8209.0","15732.0"
"BRIGHTON BEACH","17814.0","17205.0","35017.0"
"BRITS","45845.0","36624.0","82460.0"
"BRITSTOWN","3098.0","3125.0","6224.0"
"BRIXTON","22250.0","23768.0","46018.0"
"BRONKHORSTSPRUIT","31094.0","29902.0","61002.0"
"BRONVILLE","15154.0","14894.0","30045.0"
"BROOKLYN","32774.0","36330.0","69107.0"
"BUFFALO FLATS","19549.0","20691.0","40239.0"
"BUFFELSHOEK","1646.0","1150.0","2795.0"
"BULGERIVIER","850.0","568.0","1416.0"
"BULTFONTEIN","13164.0","14651.0","27814.0"
"BULWER","25994.0","30555.0","56547.0"
"BURGERSDORP","9222.0","9537.0","18758.0"
"BURGERSFORT","26158.0","24525.0","50671.0"
"BUSHBUCKRIDGE","49757.0","58308.0","108065.0"
"BUTTERWORTH","21791.0","23580.0","45371.0"
"CALA","22551.0","24170.0","46723.0"
"CALCUTTA","74452.0","89538.0","163991.0"
"CALEDON","14359.0","12995.0","27351.0"
"CALITZDORP","3628.0","3995.0","7624.0"
"CALVINIA","5162.0","5489.0","10648.0"
"CAMBRIDGE","39049.0","44487.0","83544.0"
"CAMPBELL","2181.0","2137.0","4318.0"
"CAMPERDOWN","10265.0","10298.0","20560.0"
"CAMPS BAY","2702.0","2820.0","5524.0"
"CAPE TOWN CENTRAL","17040.0","17980.0","35019.0"
"CARLETONVILLE","37423.0","24381.0","61799.0"
"CARNARVON","3899.0","4092.0","7990.0"
"CAROLINA","11344.0","11016.0","22362.0"
"CATHCART","4532.0","4911.0","9446.0"
"CATO MANOR","46928.0","48689.0","95618.0"
"CEDARVILLE","3164.0","3378.0","6543.0"
"CENTANE","36352.0","42596.0","78962.0"
"CERES","21162.0","20948.0","42110.0"
"CEZA","13694.0","17003.0","30700.0"
"CHALUMNA","5665.0","6208.0","11872.0"
"CHARL CILLIERS","1618.0","1554.0","3172.0"
"CHARLESTOWN","3937.0","4357.0","8294.0"
"CHATSWORTH","74901.0","79375.0","154287.0"
"CHRISSIESMEER","5082.0","5236.0","10319.0"
"CHRISTIANA","12163.0","11869.0","24037.0"
"CHUNGWA","8835.0","9949.0","18790.0"
"CITRUSDAL","9830.0","9525.0","19355.0"
"CLANWILLIAM","7738.0","7795.0","15532.0"
"CLAREMONT","14708.0","16187.0","30901.0"
"CLARENS","4136.0","4644.0","8784.0"
"CLEVELAND","23264.0","19756.0","43025.0"
"CLOCOLAN","9352.0","10863.0","20218.0"
"CLOETESVILLE","24897.0","26295.0","51190.0"
"COFFEE BAY","8088.0","10094.0","18179.0"
"COFIMVABA","39286.0","44168.0","83461.0"
"COLENSO","5713.0","6715.0","12431.0"
"COLESBERG","4276.0","4357.0","8633.0"
"COLIGNY","16444.0","15460.0","31903.0"
"COMMITTEES","192.0","176.0","367.0"
"CONVILLE","22852.0","24349.0","47205.0"
"COOKHOUSE","4410.0","4352.0","8759.0"
"CORNELIA","2563.0","2695.0","5260.0"
"CRADOCK","21223.0","22490.0","43712.0"
"CRAMOND","5319.0","5261.0","10580.0"
"CREIGHTON","6717.0","7287.0","14010.0"
"CRYSTALPARK","18856.0","18305.0","37162.0"
"CULLINAN","23004.0","19448.0","42449.0"
"CUMBERLAND","936.0","742.0","1681.0"
"CYFERSKUIL","9959.0","10550.0","20505.0"
"DA GAMASKOP","12162.0","12822.0","24985.0"
"DALASILE","16986.0","20068.0","37048.0"
"DALTON","8557.0","9304.0","17861.0"
"DANIELSKUIL","6864.0","7090.0","13955.0"
"DANNHAUSER","34456.0","38514.0","72964.0"
"DARLING","7573.0","7837.0","15411.0"
"DAVEL","3526.0","3613.0","7139.0"
"DAVEYTON","59962.0","57563.0","117535.0"
"DAWN PARK","42564.0","37739.0","80306.0"
"DE AAR","6942.0","7362.0","14308.0"
"DE DEUR","40366.0","39440.0","79799.0"
"DE DOORNS","16564.0","18534.0","35102.0"
"DE RUST","2830.0","3080.0","5911.0"
"DEALESVILLE","3358.0","3353.0","6714.0"
"DEBEN","4207.0","4052.0","8260.0"
"DELAREYVILLE","13351.0","12125.0","25474.0"
"DELFT","75487.0","78277.0","153759.0"
"DELMAS","30109.0","29080.0","59196.0"
"DELPORTSHOOP","7602.0","7900.0","15503.0"
"DENEYSVILLE","10782.0","10150.0","20933.0"
"DENNILTON","46902.0","55349.0","102248.0"
"DESPATCH","15609.0","16826.0","32440.0"
"DEVON","5764.0","4953.0","10717.0"
"DEWETSDORP","5402.0","6084.0","11493.0"
"DIENTJIE","7413.0","8773.0","16184.0"
"DIEPKLOOF","51426.0","51562.0","102990.0"
"DIEPRIVIER","17994.0","20712.0","38699.0"
"DIEPSLOOT","78110.0","65284.0","143391.0"
"DIMBAZA","21172.0","23237.0","44408.0"
"DINGLETON","2207.0","1858.0","4064.0"
"DIRKIESDORP","18878.0","21184.0","40058.0"
"DOBSONVILLE","116804.0","118058.0","234877.0"
"DONNYBROOK","13377.0","15173.0","28547.0"
"DORDRECHT","5601.0","5923.0","11525.0"
"DORING BAY","1617.0","1687.0","3306.0"
"DORINGKLOOF","621.0","520.0","1139.0"
"DORSET","1337.0","1044.0","2380.0"
"DOUGLAS","11177.0","11313.0","22490.0"
"DOUGLASDALE","59690.0","62222.0","121903.0"
"DUBE","11562.0","12253.0","23812.0"
"DUDUDU","12349.0","14850.0","27201.0"
"DUDUZA","36507.0","37255.0","73763.0"
"DULLSTROOM","3645.0","3786.0","7433.0"
"DUNCAN VILLAGE","34443.0","38064.0","72511.0"
"DUNDEE","20076.0","21207.0","41286.0"
"DUNNOTTAR","5319.0","5156.0","10479.0"
"DURBAN CENTRAL","22612.0","26394.0","49002.0"
"DURBAN NORTH","18809.0","21049.0","39850.0"
"DURBANVILLE","34322.0","38030.0","72349.0"
"DWAALBOOM","1137.0","742.0","1880.0"
"DYSSELSDORP","7189.0","7762.0","14949.0"
"EAST LONDON","35089.0","38775.0","73860.0"
"EDENBURG","3866.0","3840.0","7707.0"
"EDENPARK","42058.0","40431.0","82492.0"
"EDENVALE","24894.0","27616.0","52509.0"
"EDENVILLE","3753.0","3975.0","7727.0"
"EENDEKUIL","2851.0","2819.0","5669.0"
"EERSTERUST","14789.0","15750.0","30540.0"
"EKANGALA","23495.0","24946.0","48447.0"
"EKOMBE","24568.0","31345.0","55911.0"
"EKULINDENI","4034.0","4634.0","8667.0"
"EKUVUKENI","21738.0","26086.0","47820.0"
"ELANDS BAY","1338.0","1233.0","2571.0"
"ELANDS HEIGHT","311.0","189.0","500.0"
"ELANDSKRAAL","8332.0","9834.0","18164.0"
"ELANDSLAAGTE","11248.0","12307.0","23551.0"
"ELDORADO PARK","36309.0","37639.0","73947.0"
"ELLIOT","8692.0","9421.0","18117.0"
"ELLIOTDALE","24648.0","30650.0","55302.0"
"ELSBURG","22451.0","22574.0","45024.0"
"ELSIES RIVER","33557.0","36137.0","69691.0"
"ELUKWATINI","29932.0","35133.0","65058.0"
"EMANGUZI","43292.0","51876.0","95169.0"
"EMATIMATOLO","14409.0","18903.0","33307.0"
"EMATSHENI","13839.0","16258.0","30092.0"
"EMBALENHLE","62486.0","56644.0","119141.0"
"EMPANGENI","73074.0","72944.0","146028.0"
"EMZINONI","24123.0","24845.0","48975.0"
"ENGCOBO","50628.0","58251.0","108884.0"
"ENNERDALE","52744.0","52057.0","104809.0"
"ERASMIA","13398.0","9711.0","23107.0"
"ERMELO","46759.0","46705.0","93462.0"
"ESHOWE","45099.0","53045.0","98147.0"
"ESIKHAWINI","54854.0","60428.0","115280.0"
"ESTCOURT","22924.0","24920.0","47844.0"
"ETWATWA","71354.0","71245.0","142594.0"
"EVANDER","5963.0","5188.0","11151.0"
"EVATON","101940.0","108821.0","210760.0"
"EVATT","813.0","712.0","1525.0"
"EXCELSIOR","3458.0","3759.0","7216.0"
"EZAKHENI","41629.0","50637.0","92261.0"
"EZIBAYENI","9747.0","11359.0","21104.0"
"EZIBELENI","13969.0","16141.0","30110.0"
"EZINQOLENI","27450.0","32461.0","59905.0"
"FAIRLAND","9820.0","11677.0","21499.0"
"FAURESMITH","2484.0","2139.0","4621.0"
"FERNIE","10114.0","11742.0","21858.0"
"FICKSBURG","20973.0","24438.0","45413.0"
"FISH HOEK","9454.0","10837.0","20287.0"
"FLAGSTAFF","61984.0","73106.0","135086.0"
"FLORIDA","32026.0","34032.0","66057.0"
"FLOUKRAAL","265.0","207.0","472.0"
"FOCHVILLE","23955.0","23061.0","47017.0"
"FOLWENI","32847.0","35644.0","68500.0"
"FORT BEAUFORT","12656.0","14161.0","26818.0"
"FORT BROWN","580.0","569.0","1148.0"
"FOURIESBURG","8476.0","9943.0","18421.0"
"FRANKLIN","1939.0","1990.0","3929.0"
"FRANSCHHOEK","11165.0","11373.0","22535.0"
"FRASERBURG","2102.0","2009.0","4110.0"
"GA-RANKUWA","47950.0","49801.0","97751.0"
"GALESHEWE","37593.0","41103.0","78685.0"
"GAMALAKHE","14964.0","17871.0","32834.0"
"GANS BAY","7751.0","7457.0","15208.0"
"GANYESA","25598.0","30079.0","55688.0"
"GARIEPDAM","881.0","883.0","1763.0"
"GARIES","1384.0","1316.0","2699.0"
"GARSFONTEIN","47440.0","53938.0","101378.0"
"GELVANDALE","35847.0","39180.0","75022.0"
"GENADENDAL","5411.0","5259.0","10670.0"
"GEORGE","30218.0","31495.0","61715.0"
"GERMISTON","38820.0","33526.0","72346.0"
"GILEAD","24114.0","29556.0","53671.0"
"GINGINDLOVU","15723.0","17879.0","33605.0"
"GIYANI","101677.0","127932.0","229602.0"
"GLEN","628.0","550.0","1177.0"
"GLEN GREY","17669.0","20220.0","37897.0"
"GLENCOE","9158.0","9429.0","18592.0"
"GLENDALE","5665.0","5935.0","11600.0"
"GLUCKSTADT","9478.0","10803.0","20281.0"
"GOEDEMOED","525.0","448.0","974.0"
"GONUBIE","11849.0","12877.0","24727.0"
"GOODWOOD","22496.0","21425.0","43922.0"
"GORDONS BAY","8069.0","8501.0","16572.0"
"GOWAN LEA","10263.0","12297.0","22566.0"
"GRAAFF-REINET","20212.0","21334.0","41545.0"
"GRAAFWATER","2465.0","2474.0","4940.0"
"GRABOUW","20951.0","21220.0","42175.0"
"GRAHAMSTOWN","16777.0","18223.0","34997.0"
"GRASKOP","2577.0","2258.0","4836.0"
"GRASSY PARK","42845.0","45781.0","88628.0"
"GRAVELOTTE","2805.0","1682.0","4486.0"
"GREENWOOD PARK","36037.0","35846.0","71884.0"
"GREYLINGSTAD","4390.0","4272.0","8661.0"
"GREYTOWN","15938.0","19490.0","35430.0"
"GRIEKWASTAD","3700.0","3694.0","7397.0"
"GROBLERSDAL","11121.0","10263.0","21385.0"
"GROBLERSHOOP","8247.0","8131.0","16377.0"
"GROENVLEI","2609.0","2644.0","5254.0"
"GROOT BRAKRIVIER","10400.0","10930.0","21327.0"
"GROOT MARICO","7749.0","6364.0","14110.0"
"GROOT-DRAKENSTEIN","8665.0","8552.0","17218.0"
"GROOTVLEI","3529.0","3178.0","6706.0"
"GUGULETHU","60339.0","63674.0","124020.0"
"HAENERTSBURG","2723.0","2232.0","4957.0"
"HAMBURG","921.0","994.0","1918.0"
"HAMMANSKRAAL","26622.0","26419.0","53046.0"
"HAMMARSDALE","8180.0","8382.0","16561.0"
"HANKEY","6569.0","7138.0","13704.0"
"HANOVER","2660.0","2756.0","5415.0"
"HARARE","84222.0","88250.0","172475.0"
"HARBURG","6452.0","7363.0","13816.0"
"HARDING","43490.0","50669.0","94154.0"
"HARRISMITH","24226.0","26806.0","51032.0"
"HARTBEESFONTEIN","15230.0","14417.0","29647.0"
"HARTBEESPOORTDAM","20617.0","17147.0","37763.0"
"HARTEBEESKOP","5205.0","5984.0","11188.0"
"HARTSWATER","6634.0","6722.0","13353.0"
"HATTINGSPRUIT","4332.0","4425.0","8757.0"
"HAZYVIEW","19173.0","19996.0","39172.0"
"HEALDTOWN","2510.0","2817.0","5328.0"
"HEBRON","21482.0","20562.0","42052.0"
"HEIDEDAL","12278.0","13148.0","25424.0"
